Title and Author,Links
FAR FROM THE TREE by Andrew Solomon,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=NARRATIVE%20NONFICTION-,FAR%20FROM%20THE%20TREE,-by%20Andrew%20Solomon"
THE PASSAGE OF POWER by Robert A. Caro,https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=THE%20PASSAGE%20OF%20POWER
THE PATRIARCH by David Nasaw,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=HISTORY-,THE%20PATRIARCH,-by%20David%20Nasaw"
WHY DOES THE WORLD EXIST by Jim Holt,https://www.nytimes.com/interactive/2024/books/top-books-list.html#bring-up-the-bodies-hilary-mantel:~:text=WHY%20DOES%20THE%20WORLD%20EXIST
11/22/63 by Stephen King,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=THRILLER-,11/22/63,-by%20Stephen%20King"
THE ART OF FIELDING by Chad Harbach,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=FICTION-,THE%20ART%20OF%20FIELDING,-by%20Chad%20Harbach"
SWAMPLANDIA! by Karen Russell,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=FICTION-,SWAMPLANDIA!,-by%20Karen%20Russell"
TEN THOUSAND SAINTS by Eleanor Henderson,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=FICTION-,TEN%20THOUSAND%20SAINTS,-by%20Eleanor%20Henderson"
THE TIGER'S WIFE by Téa Obreht,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=SPECULATIVE%20FICTION-,THE%20TIGER%27S%20WIFE,-by%20T%C3%A9a%20Obreht"
ARGUABLY by Christopher Hitchens,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=ESSAYS-,ARGUABLY,-by%20Christopher%20Hitchens"
THE BOY IN THE MOON by Ian Brown,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=MEMOIR-,THE%20BOY%20IN%20THE%20MOON,-by%20Ian%20Brown"
MALCOLM X by Manning Marable,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=BIOGRAPHY-,MALCOLM%20X,-by%20Manning%20Marable"
"THINKING, FAST AND SLOW by Daniel Kahneman",https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=THINKING%2C%20FAST%20AND%20SLOW
A WORLD ON FIRE by Amanda Foreman,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#11-22-63-stephen-king:~:text=HISTORY-,A%20WORLD%20ON%20FIRE,-by%20Amanda%20Foreman"
FREEDOM by Jonathan Franzen,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#freedom-jonathan-franzen:~:text=FICTION-,FREEDOM,-by%20Jonathan%20Franzen"
THE NEW YORKER STORIES by Ann Beattie,https://www.nytimes.com/interactive/2024/books/top-books-list.html#freedom-jonathan-franzen:~:text=THE%20NEW%20YORKER%20STORIES
ROOM by Emma Donoghue,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#freedom-jonathan-franzen:~:text=FICTION-,ROOM,-by%20Emma%20Donoghue"
SELECTED STORIES by William Trevor,"https://www.nytimes.com/interactive/2024/books/top-books-list.html#freedom-jonathan-franzen:~:text=SHORT%20STORIES-,SELECTED%20STORIES,-by%20William%20Trevor"
